,episode name,timestamp,link
0,Ep. 11, The organizational power of plain text files [1:18],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
1,Ep. 11,Confronting an overwhelming number of obligations [4:00],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
2,Ep. 11,Getting back on track after lockdown disrupted work habits [7:15],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
3,Ep. 11,Dealing with resistance to work [9:39],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
4,Ep. 11,Audio question of the day: managing a variety of different inputs [18:28],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
5,Ep. 11,Avoiding social media on the phone browser [23:26],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
6,Ep. 11,The need for a distraction-reducing phone operating system [26:06],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
7,Ep. 11,Tracking birthdays without Facebook [28:32],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
8,Ep. 11, My podcast habits [31:07],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
9,Ep. 11,Humane tools and the state of techno-criticism [33:57],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
10,Ep. 11,Question roulette:  my book reading habits [43:46],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
11,Ep. 11,Life inside the MIT Theory Group (bonus: cracking the superstar code) [48:47],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
12,Ep. 11,The seeming impossibility of deep work with kids [1:02:42],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
13,Ep. 11,Curing your spouse’s Facebook addiction [1:14:10],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
14,Ep. 11,On the deep value of work [1:16:12],https://open.spotify.com/episode/0tB9DlNAMOswjxxIZnGDSn
15,Ep. 12," Advice on using ""office hours"" to reduce email [1:51]",https://open.spotify.com/episode/4v3uMSUyAUV6s9Fn0YrCMP
16,Ep. 12, Random thoughts and internet rabbit holes [11:18],https://open.spotify.com/episode/4v3uMSUyAUV6s9Fn0YrCMP
17,Ep. 12,Fear of mistakes crippling productivity [16:27],https://open.spotify.com/episode/4v3uMSUyAUV6s9Fn0YrCMP
18,Ep. 12,Escaping to phone when tried at work [22:11],https://open.spotify.com/episode/4v3uMSUyAUV6s9Fn0YrCMP
19,Ep. 12,The secret to making deep work deeper [25:10],https://open.spotify.com/episode/4v3uMSUyAUV6s9Fn0YrCMP
20,Ep. 13, My (many) deep work environments [1:50],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
21,Ep. 13,  Law firms are deep work disasters [6:42],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
22,Ep. 13,   On the deepness of business development efforts [13:03],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
23,Ep. 13,  Deep work for high school teachers [14:17],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
24,Ep. 13,"  The danger of using random masters degree to ""fix"" your professional life [17:04]",https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
25,Ep. 13,  On becoming a great thinker (in graduate school) [18:26],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
26,Ep. 13,  Question Roulette: coping with mission failure. [20:12],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
27,Ep. 13, My book writing toolbox [24:38],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
28,Ep. 13,  The myth of the necessity of social media for professional success (rant alert!) [26:56],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
29,Ep. 13,  Getting students to disconnect [31:19],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
30,Ep. 13,  On social media and democratization movements [34:48],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
31,Ep. 13, The right order to teach my books [39:54],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
32,Ep. 13,  Moving past repeated failures to minimize technology use [44:48],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
33,Ep. 13,  Finding motivation to get things done (sermon alert!) [44:48],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
34,Ep. 13,  Deep work on deep social problems [52:37],https://open.spotify.com/episode/5ko3TwRt8NjOl6Q4Np0Rkf
35,Ep. 14, Figuring out where to publish different types of writing [1:29],https://open.spotify.com/episode/08lXPH8n3SWDSOV08g3WeE
36,Ep. 14,Balancing two careers [7:08],https://open.spotify.com/episode/08lXPH8n3SWDSOV08g3WeE
37,Ep. 14,On productivity in support roles [13:04],https://open.spotify.com/episode/08lXPH8n3SWDSOV08g3WeE
38,Ep. 14,Keeping all aspects of the deep life in balance [22:22],https://open.spotify.com/episode/08lXPH8n3SWDSOV08g3WeE
39,Ep. 15, Deep work in groups [1:42],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
40,Ep. 15,"Rethinking the ""Dorsey Exception"" [3:52]",https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
41,Ep. 15,The wrong reason to pursue a PhD [9:04],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
42,Ep. 15,Background noise and distraction [10:10],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
43,Ep. 15,Managing tedious life admin [14:02],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
44,Ep. 15,Turning down a promotion to avoid shallow work [22:30],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
45,Ep. 15,Audio Question of the Day: Can attention residue ever be positive? [25:32],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
46,Ep. 15,Staying up on news in depressing times [30:57],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
47,Ep. 15,Thoughts on the Kindle [35:00],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
48,Ep. 15,Thoughts on the Pomodoro Technique [38:00],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
49,Ep. 15,Social media and politics [41:23],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
50,Ep. 15,Deep work versus social media [47:20],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
51,Ep. 15,Question Roulette: When will depth become mainstream? [50:31],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
52,Ep. 15,Habits to pick up in childhood [54:56],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
53,Ep. 15,How students can cultivate a deep life [57:02],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
54,Ep. 15,Recharging during deep work breaks [1:02],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
55,Ep. 15,Uncommon sources of high quality leisure [1:05],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
56,Ep. 15,Teaching the deep life to children [1:06],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
57,Ep. 15,The strongest arguments against my work [1:08],https://open.spotify.com/episode/3SfgPtA7GUAnfnEPvqhLoV
58,Ep. 16, Does capturing thoughts diminish deep work? [2:09],https://open.spotify.com/episode/2TWHtjuNChsIrdwYzUJTTa
59,Ep. 16,Trouble relaxing after periods of intense focus. [7:37],https://open.spotify.com/episode/2TWHtjuNChsIrdwYzUJTTa
60,Ep. 16,Should you list specific tasks on time block schedules? [14:23],https://open.spotify.com/episode/2TWHtjuNChsIrdwYzUJTTa
61,Ep. 16,Time blocking for jobs with regular unexpected emergencies. [18:46],https://open.spotify.com/episode/2TWHtjuNChsIrdwYzUJTTa
62,Ep. 16,What administrators can do to help teachers work deeply. [26:08],https://open.spotify.com/episode/2TWHtjuNChsIrdwYzUJTTa
63,Ep. 17, Effective delegation (hint: don't send an email) [8:09],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
64,Ep. 17,Bosses with varied productivity styles [16:25],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
65,Ep. 17,Crucial skills for the 21st century [18:54],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
66,Ep. 17,The danger of using a pseudonym to evade imposter syndrome [23:34],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
67,Ep. 17,How I choose my career [26:23],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
68,Ep. 17,Optimal specificity for daily plans [29:40],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
69,Ep. 17,Advice for someone new to writing [33:55],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
70,Ep. 17,QUESTION ROULETTE [35:43],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
71,Ep. 17,My thoughts on smart watches [38:49],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
72,Ep. 17,"Using ""memory palaces"" to train your brain (random story alert) [40:56]",https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
73,Ep. 17,"Moving tasks out of email, even if annoying [44:52]",https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
74,Ep. 17,The limited use of social media for a non-established writer [46:29],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
75,Ep. 17,My thoughts on the Boycott Facebook movement [48:11],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
76,Ep. 17,"DEEP LIFE QUESTIONThe secret to my ""smooth"" answers to questions [50:38]",https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
77,Ep. 17,Getting back on track after a professional failure [54:14],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
78,Ep. 17,Sticking with a job you dislike [59:32],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
79,Ep. 17,An impromptu history seminar on critical theory [1:05:00],https://open.spotify.com/episode/43aVigEFXsNuFOSItR0zFT
80,Ep. 18,  outsourcing household work [1:46],https://open.spotify.com/episode/5QHu837pHT9XAtp1796wxh
81,Ep. 18,mitigating the damage caused by unavoidable distractions [6:45],https://open.spotify.com/episode/5QHu837pHT9XAtp1796wxh
82,Ep. 18,the utility of fancy flashcard software [12:43],https://open.spotify.com/episode/5QHu837pHT9XAtp1796wxh
83,Ep. 18, tips for becoming a professor [24:04],https://open.spotify.com/episode/5QHu837pHT9XAtp1796wxh
84,Ep. 18, productivity beyond basic lists [34:01],https://open.spotify.com/episode/5QHu837pHT9XAtp1796wxh
85,Ep. 19, Modernizing GTD [2:18],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
86,Ep. 19,Calendar Shaming [7:59],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
87,Ep. 19,How I keep track of projects [14:15],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
88,Ep. 19,Staying relevant when less connected [16:29],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
89,Ep. 19,The inherent unpredictability of kids and facing the productivity dragon [19:21],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
90,Ep. 19,Quantifying career capital [25:09],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
91,Ep. 19,AUDIO QUESTION OF THE DAY [28:17],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
92,Ep. 19,Dealing with screen time overload [31:36],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
93,Ep. 19,Is a Kindle a screen? [36:32],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
94,Ep. 19,The relative depth of books versus podcasts [36.48],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
95,Ep. 19,Digital detox struggles [39:26],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
96,Ep. 19,Instagram struggles (hint: my suggestion starts with a ‘Q’ and rhymes with ‘bit’) [44:02],https://open.spotify.com/episode/23dwAfMrkp26YzKtL7RvvY
